rpm	power	torque
1000	4.18	24.86
1100	5.26	28.43
1200	6.23	30.86
1300	7.30	33.42
1400	8.38	35.62
1500	9.57	37.98
1600	11.31	42.05
1700	13.16	46.04
1800	14.89	49.23
1900	16.66	52.18
2000	18.50	55.03
2100	20.87	59.12
2200	23.24	62.86
2300	25.57	66.13
2400	27.89	69.13
2500	30.37	72.28
2600	32.86	75.19
2700	35.46	78.13
2800	38.00	80.75
2900	40.58	83.25
3000	43.14	85.55
3100	45.84	87.97
3200	48.53	90.22
3300	51.21	92.33
3400	53.90	94.31
3500	56.45	95.95
3600	58.72	97.04
3700	60.87	97.88
3800	63.14	98.85
3900	65.30	99.61
4000	67.23	100.00
4100	68.84	99.88
4200	70.24	99.50
4300	71.76	99.29
4400	73.28	99.08
4500	74.72	98.79
4600	76.10	98.42
4700	77.40	97.97
4800	78.69	97.54
4900	79.99	97.12
5000	81.25	96.68
5100	82.38	96.10
5200	83.56	95.60
5300	84.71	95.09
5400	85.82	94.55
5500	86.97	94.08
5600	87.98	93.47
5700	89.06	92.95
5800	90.03	92.35
5900	91.11	91.87
6000	92.12	91.34
6100	93.04	90.74
6200	94.01	90.21
6300	94.98	89.69
6400	95.88	89.13
6500	96.87	88.66
6600	97.45	87.84
6700	98.08	87.09
6800	98.74	86.38
6900	99.40	85.70
7000	100.00	84.99
7100	99.25	83.17
7200	98.50	81.39
7300	97.76	79.67
7400	96.98	77.97
7500	96.15	76.27
7600	93.93	73.53
7700	91.56	70.74
7800	89.18	68.02
7900	86.80	65.37
8000	84.36	62.74
8100	81.50	59.86
8200	78.46	56.93
8300	75.43	54.06
